"precio","marcaModelo","anio","vistas","Cilindrada","Estilo","Combustible","Transmisión","Estado","Kilometraje","Placa","Color exterior","Color interior","# de puertas","Ya pagó impuestos","Precio negociable","Se recibe vehículo","Provincia","Fecha de ingreso","cantidadExtras","marca","modelo"
7500000,"Hyundai ELANTRA GLS",2016,583,1800,"Sedán","Gasolina","Automática/Dual","Excelente",90000,"Termina en 0","NEGRO","NEGRO",5,"SI","NO","NO","Heredia","30 de Octubre del 2020",27,"Hyundai","ELANTRA GLS"
4000000,"Suzuki SWIFT DZIRE GL",2015,3657,1200,"Sedán","Gasolina","Manual","Muy Bueno",165000,"Termina en 9","TURQUEZA","BEIGE",5,"SI","SI","NO","Heredia","17 de Noviembre del 2020",17,"Suzuki","SWIFT DZIRE GL"
4700000,"Suzuki GRAND VITARA",2005,1442,2000,"Todo Terreno 4x4","Gasolina","Manual","Excelente",178600,"Termina en 7","BLANCO","NEGRO",4,"SI","SI","NO","Alajuela","21 de Diciembre del 2020",15,"Suzuki","GRAND VITARA"
16700000,"Nissan FRONTIER",2017,306,2500,"Todo Terreno 4x2","Diesel","Manual","Excelente",39000,"Termina en 6","AZUL","NEGRO CUERO",4,"SI","SI","NO","Heredia","07 de Enero del 2021",28,"Nissan","FRONTIER"
4100000,"Suzuki CELERIO",2012,618,1000,"Hatchback","Gasolina","Automática/Dual","Excelente",88999,"Termina en 8","NEGRO","NEGRO",4,"SI","SI","SI","San José","06 de Enero del 2021",1,"Suzuki","CELERIO"
3500000,"Nissan TIIDA",2011,218,1600,"Sedán","Gasolina","Manual","Muy Bueno",121400,"Termina en 9","GRIS","NEGRO",5,"SI","SI","SI","Heredia","03 de Febrero del 2021",14,"Nissan","TIIDA"
8950000,"Kia SORENTO",2011,912,3500,"Todo Terreno 4x4","Gasolina","Automática/Dual","Excelente",118000,"Termina en 6","BRONCE","NEGRO",5,"SI","SI","NO","Alajuela","11 de Noviembre del 2020",29,"Kia","SORENTO"
18000000,"Audi Q5",2017,174,2000,"Todo Terreno 4x4","Gasolina","Automática/Dual","Excelente",62000,"Termina en 4","CAFÉ","BEIGE",5,"SI","NO","NO","San José","02 de Febrero del 2021",28,"Audi","Q5"
4975000,"Mitsubishi MIRAGE",2015,1143,1200,"Hatchback","Gasolina","Automática/Dual","Excelente",50035,"ND","NEGRO","NEGRO",4,"SI","SI","SI","Guanacaste","17 de Enero del 2021",11,"Mitsubishi","MIRAGE"
6200000,"Nissan XTERRA SE",2006,1624,2800,"Todo Terreno 4x4","Diesel","Manual","Excelente",230000,"Termina en 1","GRIS","NEGRO",5,"SI","SI","NO","Limón","16 de Diciembre del 2020",15,"Nissan","XTERRA SE"
